#ID l b v
53993 149.8 -0.2 -35
53993 149.8 -0.2 -5
53994 139.8 -0.2 -40 
53994 139.8 -0.2 -4
53995 159.8 -0.2 -25 
53995 159.8 -0.2 -2
53996 169.9 -0.2 -10 
53996 169.9 -0.2 0
53997 59.9 0.2 9 -64 
53997 59.9 0.2 29 
53997 59.9 0.2 -14
53998 69.8 0.1 6 
53998 69.8 0.1 -68 
53998 69.8 0.1 -25
53999 79.8 0.0 4 
53999 79.8 0.0 -71 
53999 79.8 0.0 -40
54000 99.8 0.0 0 
54000 99.8 0.0 -60 
54000 99.8 0.0 -37 
54000 99.8 0.0 -95 
54000 99.8 0.0 -18
54001 109.9 -0.1 -50 
54001 109.9 -0.1 -98 
54001 109.9 -0.1 -4
54002 119.8 -0.1 -1.3 
54002 119.8 -0.1 -10 
54002 119.8 -0.1 -52 
54002 119.8 -0.1 -98 
54002 119.8 -0.1 -84 
54002 119.8 -0.1 -30
54003 129.8 -0.2 -7 
54003 129.8 -0.2 -51 
54003 129.8 -0.2 -92
54004 179.9 -0.3 -1
54005 49.8 0.1 6 
54005 49.8 0.1 48 
54005 49.8 0.1 56 
54005 49.8 0.1 -50 
54005 49.8 0.1 21
54006 54.9 0.2 8.5 
54006 54.9 0.2 24 
54006 54.9 0.2 30 
54006 54.9 0.2 39 
54006 54.9 0.2 -55
54007 44.9 0.2 6.5 
54007 44.9 0.2 19 
54007 44.9 0.2 33 
54007 44.9 0.2 58 
54007 44.9 0.2 -47 
54007 44.9 0.2 25
54008 39.9 0.2 5.5 
54008 39.9 0.2 17 
54008 39.9 0.2 33 
54008 39.9 0.2 58 
